,PassengerId,Survived
375,1267,88
376,1268,141
377,1269,56
378,1270,571
379,1271,233
380,1272,107
381,1273,146
382,1274,85
383,1275,241
384,1276,17
385,1277,97
386,1278,127
387,1279,15
388,1280,391
389,1281,165
390,1282,291
391,1283,449
392,1284,128
393,1285,338
394,1286,301
395,1287,97
396,1288,127
397,1289,52
398,1290,391
399,1291,569
400,1292,318
401,1293,211
402,1294,97
403,1295,539
404,1296,194
405,1297,303
406,1298,56
407,1299,380
408,1300,32
409,1301,479
410,1302,32
411,1303,224
412,1304,2
413,1305,107
414,1306,215
415,1307,400
416,1308,107
417,1309,165
